Column1,Column2,Column3,Column4,Column5,Column6,Column7
player_id,player_name,player_number,position,country,date_of_birth,height
p1,Alan Shearer,\N,Forward,England,1970-08-13,183
p100059,Alberto Moreno,\N,Defender,Spain,1992-07-05,171
p100180,Danilo,\N,Defender,Brazil,1991-07-15,184
p10022,Cory Gibbs,\N,Defender,United States,1980-01-14,188
p10039,Abdeslam Ouaddou,\N,Defender,Morocco,1978-11-01,193
p100412,André Carrillo,\N,Midfielder,Peru,1991-06-14,182
p100534,Paulinho,\N,Midfielder,Brazil,1988-07-25,182
p10059,David Bellion,\N,Forward,France,1982-11-27,181
p100649,Bernard,\N,Forward,Brazil,1992-09-08,166
p10068,Szilard Nemeth,\N,Forward,Slovakia,1977-08-08,180
p10072,Henrik Pedersen,\N,Forward,Denmark,1975-06-10,188
p10089,Martin Petrov,\N,Midfielder,Bulgaria,1979-01-15,180
p101061,Philip Heise,\N,Defender,Germany,1991-06-20,184
p101065,Phil Ofosu-Ayeh,\N,Defender,Ghana,1991-09-15,181
p10107,Rafael Schmitz,\N,Defender,Brazil,0000-00-00,\N
p101105,Joe Bryan,\N,Defender,England,1993-09-17,173
p101135,Cody Cropper,\N,Goalkeeper,United States,1993-02-16,191
p10114,Fábio Rochemback,\N,Midfielder,Brazil,1981-12-10,183
p101148,Jamaal Lascelles,6,Defender,England,1993-11-11,188
p101178,James Ward-Prowse,8,Midfielder,England,1994-11-01,173
p101179,Lloyd Isgrove,\N,Midfielder,Wales,1993-01-12,178
p101180,Sam Hoskins,\N,Forward,England,1993-02-04,173
p101183,Corby Moore,\N,Midfielder,England,1993-11-21,173
p101184,Calum Chambers,21,Defender,England,1995-01-20,182
p101188,Lucas Digne,12,Defender,France,1993-07-20,178
p10135,Tomasz Kuszczak,\N,Goalkeeper,Poland,1982-03-20,191
p101394,Okay Yokuslu,\N,Midfielder,Turkey,1994-03-09,190
p10143,Geovanni,\N,Midfielder,Brazil,1980-01-11,168
p101489,Csaba Somogyi,\N,Goalkeeper,Hungary,1985-04-07,190
p101537,Felipe Anderson,\N,Midfielder,Brazil,1993-04-15,175
p10155,Chris Black,\N,Midfielder,England,1982-09-07,183
p10156,Craig James,\N,Defender,England,1982-11-15,183
p101582,Fred,17,Midfielder,Brazil,1993-03-05,169
p10159,Keith Graydon,\N,Forward,England,1983-02-10,\N
p1016,Kevin Pressman,\N,Goalkeeper,England,1967-11-06,185
p10161,Mark Rossiter,\N,Midfielder,Ireland,1983-05-27,180
p101623,Cristian Ceballos,\N,Midfielder,Spain,1992-12-03,173
p101642,Rhys Bennett,\N,Defender,England,1991-09-01,191
p101668,Jamie Vardy,9,Forward,England,1987-01-11,179
p1017,Julian Joachim,\N,Forward,England,1974-09-20,168
p1018,Lee Hughes,\N,Forward,England,1976-05-22,178
p10187,David Noble,\N,Midfielder,England,1982-02-02,183
p1019,Kevin Kilbane,\N,Midfielder,Ireland,1977-02-01,183
p101982,Sam Johnstone,\N,Goalkeeper,England,1993-03-25,193
p102046,Muamer Tankovic,\N,Forward,Sweden,1995-02-22,179
p102052,Eirik Holmen Johansen,\N,Goalkeeper,Norway,1992-07-12,201
p102053,Andrea Mancini,\N,Midfielder,Italy,1992-08-13,179
p102057,Raúl Jiménez,9,Forward,Mexico,1991-05-05,190
p10216,Alberto Mendez,\N,Midfielder,Germany,1974-10-24,180
p102163,Souleymane Coulibaly,\N,Forward,Cote D`Ivoire,1994-12-26,172
p10231,Stevland Angus,\N,Defender,England,1980-09-16,\N
p102366,Moritz Bauer,\N,Defender,Austria,1992-01-25,181
p102380,Antonio Rüdiger,2,Defender,Germany,1993-03-03,190
p1024,Sean Flynn,\N,Midfielder,England,1968-03-13,173
p10246,Terrell Forbes,\N,Defender,England,1981-08-17,183
p1025,Matt Carbon,\N,Defender,England,1975-06-08,188
p10250,Ciaran Toner,\N,Midfielder,Northern Ireland,1981-06-30,185
p102548,Tiago Ilori,\N,Defender,Portugal,1993-02-26,190
p102549,Adam Davies,\N,Goalkeeper,Wales,1992-07-17,185
p1027,Richard Sneekes,\N,Midfielder,Netherlands,1968-10-30,180
p10273,Graeme Sharp,\N,Forward,Scotland,1960-10-16,185
p102738,Giannelli Imbula,\N,Midfielder,DR Congo,1992-09-12,186
p10274,John Ebbrell,\N,Midfielder,England,1969-10-01,178
p102747,Djibril Sidibé,\N,Defender,France,1992-07-29,182
p10276,Barry Venison,\N,Defender,England,1964-08-16,178
p10277,David Speedie,\N,Forward,Scotland,1960-02-20,168
p1028,David Watson,\N,Goalkeeper,England,1973-11-10,183
p102822,Wallace Oliveira,\N,Defender,Brazil,1994-05-01,175
p102826,Benjamin Mendy,22,Defender,France,1994-07-17,185
p102884,Paulo Gazzaniga,\N,Goalkeeper,Argentina,1992-01-02,196
p1029,Mickey Evans,\N,,Ireland,1973-01-01,183
p102907,Mark Birighitti,\N,Goalkeeper,Australia,1991-04-17,189
p102916,Matthew Fletcher,\N,Forward,Australia,1992-06-01,189
p1030,Nico Vaesen,\N,Goalkeeper,Belgium,1969-09-28,191
p103025,Riyad Mahrez,26,Forward,Algeria,1991-02-21,179
p103040,Karim Rekik,\N,Defender,Netherlands,1994-12-02,186
p1031,Fabian De Freitas,\N,Forward,Netherlands,1972-07-28,185
p103100,Jonathan Williams,\N,Midfielder,Wales,1993-10-09,168
p103109,Sam Magri,\N,Defender,Malta,1994-03-30,184
p103123,Sébastien Haller,\N,Forward,Cote D`Ivoire,1994-06-22,190
p103124,Emiliano Sala,\N,Forward,Argentina,1990-10-31,187
p103127,Molla Wagué,\N,Defender,Mali,1991-02-21,191
p10318,Maarten Stekelenburg,\N,Goalkeeper,Netherlands,1982-09-22,197
p103192,Kurt Zouma,4,Defender,France,1994-10-27,190
p1033,Nicky Eaden,\N,Defender,England,1972-12-12,175
p103328,Tom Hitchcock,\N,Forward,England,1992-10-01,178
p1034,Alan Miller,\N,Goalkeeper,England,1970-03-29,191
p10343,José Antonio Reyes,\N,Midfielder,Spain,1983-09-01,176
p10348,Junichi Inamoto,\N,Midfielder,Japan,1979-09-18,181
p1035,Jamie Vincent,\N,Defender,England,1975-06-18,178
p103527,Diego Poyet,\N,Midfielder,Uruguay,1995-04-08,180
p10356,Guy Demel,\N,Defender,Cote D`Ivoire,1981-06-13,188
p10359,Neil Barrett,\N,Midfielder,England,1981-12-24,178
p1036,Craig Armstrong,\N,Defender,England,1975-05-23,180
p10366,Erik Edman,\N,Defender,Sweden,1978-11-11,179
p10367,Hatem Trabelsi,\N,Defender,Tunisia,1977-01-25,179
p103697,Ryan Williams,\N,Midfielder,Australia,1993-10-28,173
p10370,Mamady Sidibe,\N,Forward,Mali,1979-12-18,193
p10378,Simon Ramsden,\N,Defender,England,1981-12-17,183
p1038,Matty Appleby,\N,Midfielder,England,1972-04-16,178
p1039,Chris Lucketti,\N,Defender,England,1971-09-28,183
p103903,Adam Henley,\N,Defender,Wales,1994-06-14,178
p103912,Jordon Ibe,\N,Midfielder,England,1995-12-08,176
p103914,Charlie Taylor,3,Defender,England,1993-09-18,176
p103917,Joe Cracknell,\N,Goalkeeper,England,1994-09-28,183
p103953,Suso,\N,Midfielder,Spain,1993-11-19,177
p103955,Raheem Sterling,7,Forward,England,1994-12-08,170
p104047,Pelly-Ruddock Mpanzu,\N,Midfielder,DR Congo,1994-03-22,175
p104073,Joe Ralls,\N,Midfielder,England,1993-10-12,183
p104074,Adedeji Oshilaja,\N,Defender,England,1993-03-02,181
p10425,Florent Malouda,\N,Midfielder,France,1980-06-13,184
p1043,Giorgos Donis,\N,Midfielder,Greece,1969-10-22,183
p10440,Bernt Haas,\N,Defender,Switzerland,1978-04-08,185
p10445,Frédéric Piquionne,\N,Forward,France,1978-12-08,188
p10449,Henri Camara,\N,Forward,Senegal,1977-05-10,176
p1045,Marcus Stewart,\N,Forward,England,1972-11-07,178
p10450,David Di Michele,\N,Forward,Italy,0000-00-00,\N
p10451,Jermaine Jenas,\N,Midfielder,England,1983-02-18,180
p104517,Kudos Oyenuga,\N,Forward,England,1993-03-18,176
p104531,Courtney Meppen-Walter,\N,Defender,England,1994-08-02,184
p104532,Devante Cole,\N,Forward,England,1995-05-10,184
p104533,Ellis Plummer,\N,,England,1994-09-02,\N
p104535,Harry Bunn,\N,Forward,England,1992-11-21,175
p104536,Ian Lawlor,\N,Goalkeeper,Ireland,1994-10-27,193
p104537,Jeremy Helan,\N,,France,1992-05-09,181
p104538,Joan Román,\N,Midfielder,Spain,1993-05-18,175
p104539,Jordy Hiwula-Mayifuila,\N,Forward,England,1994-09-21,178
p10454,Dickson Etuhu,\N,Midfielder,Nigeria,1982-06-08,188
p104542,Loris Karius,22,Goalkeeper,Germany,1993-06-22,189
p104545,Tommy Smith,\N,Defender,England,1992-04-14,186
p104547,Dwight Gayle,34,Forward,England,1989-10-17,174
p1046,Scott Sellars,\N,Midfielder,England,1965-11-27,170
p10460,Grant Leadbitter,\N,Midfielder,England,1986-01-07,177
p10466,John Heitinga,\N,Defender,Netherlands,1983-11-15,182
p1047,Clyde Wijnhard,\N,Forward,Netherlands,1973-11-01,180
p10486,Jürgen Colin,\N,Defender,Netherlands,1981-01-20,178
p1049,Kevin Richardson,\N,Midfielder,England,1962-12-04,173
p10490,Konstantinos Chalkias,\N,Goalkeeper,Greece,1974-05-30,198
p104953,Christian Atsu,\N,Midfielder,Ghana,1992-01-10,165
p1050,Paul Holmes,\N,Defender,England,1968-02-18,178
p105086,Kerim Frei,\N,Midfielder,Turkey,1993-11-19,171
p105088,Adam Blakeman,\N,Defender,England,1991-12-03,175
p1051,Ben Thornley,\N,Midfielder,England,1975-04-21,173
p105185,Steven Hewitt,\N,Midfielder,England,1993-12-05,175
p105186,Jordan Gibbons,\N,Midfielder,England,1993-11-18,179
p105190,Anthony Forde,\N,Midfielder,Ireland,1993-11-16,186
p1052,Adie Moses,\N,Defender,England,1975-05-04,185
p105320,George Moncur,\N,Midfielder,England,1993-08-18,176
p105321,Robert Hall,\N,Forward,England,1993-10-20,173
p105322,Joe Riley,\N,Defender,England,1991-10-13,184
p105377,Ezgjan Alioski,\N,Midfielder,North Macedonia,1992-02-12,173
p1054,Barry Horne,\N,Midfielder,Wales,1962-05-18,178
p10542,Youssef Safri,\N,Midfielder,Morocco,1977-01-13,178
p10547,Marc Richards,\N,Forward,England,1982-07-08,180
p10549,Dave Kitson,\N,Forward,England,1980-01-21,191
p1055,Chris Adamson,\N,Goalkeeper,England,1978-11-04,188
p10550,Rowan Vine,\N,Forward,England,1982-09-21,185
p105518,Joel Valencia,\N,Forward,Ecuador,1994-11-16,164
p1056,Scott Jones,\N,Defender,England,1975-05-01,178
p10561,Karl Henry,\N,Midfielder,England,1982-11-26,183
p105666,Jack Butland,1,Goalkeeper,England,1993-03-10,196
p105677,Cheick Touré,\N,Defender,Cote D`Ivoire,1992-12-16,185
p105678,Shay Facey,\N,Defender,England,1995-01-07,179
p105689,Luke Conlan,\N,Defender,Northern Ireland,1994-10-31,180
p105692,Cameron Howieson,\N,Midfielder,New Zealand,1994-12-22,181
p105696,Villyan Bijev,\N,Forward,Bulgaria,1993-01-03,183
p1057,Graham Potter,\N,Midfielder,England,1975-05-20,185
p105700,Davide Zappacosta,\N,Defender,Italy,1992-06-11,185
p105702,Tommaso Trani,\N,Goalkeeper,Italy,1993-12-30,202
p10571,Aaron McLean,\N,Forward,England,1983-05-25,171
p105717,Arthur Masuaku,26,Defender,DR Congo,1993-11-07,179
p105731,Callum Tapping,\N,Midfielder,Scotland,1993-06-05,178
p10578,Liam Lawrence,\N,Midfielder,Ireland,1981-12-14,180
p105835,Eduardo Vargas,\N,Forward,Chile,1989-11-20,170
p10589,Brian Murphy,\N,Goalkeeper,Ireland,1983-05-07,183
p1059,Danny Gabbidon,\N,Defender,Wales,1979-08-08,178
p10594,Joseph Yobo,\N,Defender,Nigeria,1980-09-06,188
p1060,Eric Tinkler,\N,Midfielder,South Africa,1970-07-30,188
p10602,Milan Baros,\N,Forward,Czech Republic,1981-10-28,183
p10614,Björn Runström,\N,Forward,Sweden,1984-03-01,186
p106175,Nick Arnold,\N,,England,1993-07-03,180
p106177,Angus MacDonald,\N,Defender,England,1992-10-15,184
p106178,Charlie Losasso,\N,Midfielder,England,1992-11-11,182
p106179,Gozie Ugwu,\N,Forward,England,1993-04-22,188
p1062,Delroy Facey,\N,Forward,Grenada,1980-04-22,182
p106256,Jak Alnwick,\N,Goalkeeper,England,1993-06-17,188
p1063,Craig Hignett,\N,Forward,England,1970-01-12,175
p106300,David Moberg-Karlsson,\N,Forward,Sweden,1994-03-20,179
p106348,Nouha Dicko,\N,Midfielder,Mali,1992-05-14,173
p1064,Neil Shipperley,\N,Forward,England,1974-10-30,185
p106419,Luke Coulson,\N,,England,1994-03-06,\N
p106422,Emyr Huws,\N,Midfielder,Wales,1993-09-30,177
p106423,George Evans,\N,Midfielder,England,1994-12-13,184
p106449,Kevin Stewart,\N,Defender,Jamaica,1993-09-07,181
p106450,Alex Pritchard,\N,Midfielder,England,1993-05-03,171
p106451,Jack Barthram,\N,Defender,England,1993-10-13,184
p106458,Eduard Campabadal,\N,Defender,Spain,1993-01-26,176
p1065,Bruce Dyer,\N,Forward,England,1975-04-13,183
p106530,Josh Carmichael,\N,Midfielder,Scotland,1994-09-27,183
p1066,James Chambers,\N,Defender,England,1980-11-20,178
p106602,Graham Burke,\N,Forward,Ireland,1993-09-21,180
p106603,Ezekiel Fryers,\N,Defender,England,1992-09-09,185
p106606,Massimo Luongo,\N,Midfielder,Australia,1992-09-25,176
p106610,Larnell Cole,\N,Midfielder,England,1993-03-09,168
p106611,Michael Keane,5,Defender,England,1993-01-11,191
p106612,Tom Thorpe,\N,Defender,England,1993-01-13,185
p106616,Jeff Henderson,\N,Defender,England,1991-12-19,188
p106617,Patrick Bamford,9,Forward,England,1993-09-05,185
p106618,Paul Dummett,3,Defender,Wales,1991-09-26,183
p1067,Adam Chambers,\N,Defender,England,1980-11-20,178
p106757,Jürgen Locadia,27,Forward,Netherlands,1993-11-07,187
p106760,Luke Shaw,23,Defender,England,1995-07-12,185
p106824,Memphis Depay,\N,Forward,Netherlands,1994-02-13,176
p106837,Dennis Praet,\N,Midfielder,Belgium,1994-05-14,181
p106899,Roque Mesa,\N,Midfielder,Spain,1989-06-07,172
p1069,Darren Barnard,\N,Defender,Wales,1971-11-30,178
p106921,Gerónimo Rulli,\N,Goalkeeper,Argentina,1992-05-20,189
p10706,Jamie Slabber,\N,Forward,England,1984-12-31,188
p10707,Mark Yeates,\N,Forward,Ireland,1985-01-11,175
p107084,Jordan Archer,\N,Goalkeeper,Scotland,1993-04-12,186
p107088,Jason Banton,\N,Midfielder,England,1992-12-15,183
p10709,Emanuel Pogatetz,\N,Defender,Austria,1983-01-16,191
p1071,Mike Sheron,\N,Forward,England,1972-01-11,175
p10726,Bernardo Corradi,\N,Forward,Italy,1976-03-30,191
p107265,Angus Gunn,28,Goalkeeper,England,1996-01-22,196
p10738,Darren Bent,\N,Forward,England,1984-02-06,180
p10741,Matt Bloomfield,\N,,England,1984-02-08,173
p10743,Justin Miller,\N,Defender,South Africa,1980-12-16,183
p10744,Darren Ambrose,\N,Midfielder,England,1984-02-29,183
p10746,Matteo Sereni,\N,Goalkeeper,Italy,1975-02-11,186
p107540,Dominic Vose,\N,Midfielder,England,1993-11-23,173
p107541,Scott Harrison,\N,Defender,England,1993-09-03,183
p1076,Martin Bullock,\N,Midfielder,England,1975-03-05,165
p107613,Romain Saïss,27,Midfielder,Morocco,1990-03-26,190
p107698,Greg Leigh,\N,Defender,Jamaica,1994-09-30,180
p1077,David Beresford,\N,Midfielder,England,1976-11-11,173
p10770,Trevor Francis,\N,Forward,England,1954-04-19,178
p107700,Stuart Findlay,\N,Defender,Scotland,1995-09-14,191
p10773,Gordon Strachan,\N,Midfielder,Scotland,1957-02-09,168
p10775,Steve Bruce,\N,Defender,England,1960-12-31,183
p10780,Graham Rix,\N,Forward,England,1957-10-23,178
p107853,Marcello Trotta,\N,Forward,Italy,1992-09-29,188
p10787,Gary Megson,\N,Defender,England,1959-05-02,178
p1079,Robin van Der Laan,\N,Midfielder,Netherlands,1968-09-05,183
p10790,Steve McMahon,\N,Midfielder,England,1961-08-20,175
p10793,Micky Adams,\N,Defender,England,1961-11-08,173
p10794,Danny Wilson,\N,Midfielder,Northern Ireland,1960-01-01,168
p10796,Alan Cork,\N,Forward,England,1959-03-04,183
p10798,Steve Whitton,\N,Midfielder,England,1960-12-04,185
p10799,Lou Macari,\N,Midfielder,Scotland,1943-07-30,\N
p10801,Andy Ritchie,\N,Forward,Scotland,1956-02-23,178
p108012,Jernade Meade,\N,Defender,England,1992-10-25,160
p10804,Ian Holloway,\N,Defender,England,1963-03-12,173
p108053,Conor Townsend,\N,Defender,England,1993-03-04,168
p108093,Luciano Vietto,\N,Forward,Argentina,1993-12-05,174
p1081,Geoff Thomas,\N,Midfielder,England,1964-08-05,185
p10810,Lawrie Sanchez,\N,Midfielder,Northern Ireland,1959-10-22,180
p10812,Steve Cotterill,\N,Forward,England,1964-07-20,186
p108132,Jamal Blackman,\N,Goalkeeper,England,1993-10-23,199
p10814,Paul Bracewell,\N,Midfielder,England,1962-07-19,176
p108156,Björn Engels,\N,Defender,Belgium,1994-09-15,193
p108238,Richard Peniket,\N,Forward,England,1993-03-04,189
p10825,Brian Laws,\N,Defender,England,1961-10-14,178
p1084,Kevin Muscat,\N,Defender,Australia,1973-08-07,180
p108411,Daniel Potts,\N,Defender,England,1994-04-13,172
p108413,Will Hughes,12,Midfielder,England,1995-04-17,185
p108415,Jaanai Gordon,\N,Forward,England,1995-12-07,178
p108416,John Egan,\N,Defender,Ireland,1992-10-20,185
p108438,Sandro Ramírez,\N,Forward,Spain,1995-07-09,175
p10844,David Tyrie,\N,Defender,England,1985-02-05,\N
p108559,Taylor Parmenter,\N,Defender,England,1992-09-09,178
p10866,Georgios Samaras,\N,Forward,Greece,1985-02-21,193
p10869,John Melligan,\N,Midfielder,Ireland,1982-02-11,178
p1087,Carl Robinson,\N,Midfielder,Wales,1976-10-13,178
p10872,Jonathan Hutchinson,\N,Defender,England,1982-04-02,180
p108799,Louis Thompson,\N,Midfielder,Wales,1994-12-19,180
p108813,Christian Walton,\N,Goalkeeper,England,1995-11-09,182
p108819,Ryan Brunt,\N,Forward,England,1993-05-26,185
p108823,Dele Alli,20,Midfielder,England,1996-04-11,188
p108824,Brendan Galloway,\N,Defender,Zimbabwe,1996-03-17,188
p1089,Chris Morgan,\N,Defender,England,1977-11-09,185
p1090,Keith Curle,\N,Defender,England,1963-11-14,183
p109005,George Glendon,\N,Midfielder,England,1995-05-03,177
p109006,James Horsfield,\N,Midfielder,England,1995-09-21,178
p109009,Ryan McLaughlin,\N,Defender,Northern Ireland,1994-09-30,183
p109014,Kristoffer Peterson,\N,Midfielder,Sweden,1994-11-28,185
p109015,Jack Dunn,\N,Midfielder,England,1994-11-19,178
p109065,Davy Klaassen,\N,Midfielder,Netherlands,1993-02-21,179
p1091,Georgi Hristov,\N,Forward,North Macedonia,1976-01-30,182
p10916,Fernando Nelson,\N,Defender,Portugal,1971-11-05,175
p10917,Ricardo Carvalho,\N,Defender,Portugal,1978-05-18,183
p1092,Neil Emblen,\N,Defender,England,1971-06-19,185
p10920,Deco,\N,Midfielder,Portugal,1977-08-27,175
p10929,Hélder Postiga,\N,Forward,Portugal,1982-08-02,180
p109322,Jesse Lingard,14,Midfielder,England,1992-12-15,175
p109345,Solly March,20,Midfielder,England,1994-07-20,180
p109363,João Teixeira,\N,Midfielder,Portugal,1993-01-18,167
p10937,Nick Chadwick,\N,Forward,England,1982-10-26,183
p1094,Paul Simpson,\N,Midfielder,England,1966-07-26,173
p10943,Paul Smith,\N,Goalkeeper,England,1979-12-17,191
p109434,Terence Kongolo,\N,Defender,Netherlands,1994-02-14,188
p10949,Jobi McAnuff,\N,Midfielder,Jamaica,1981-11-09,178
p1095,Simon Osborn,\N,Midfielder,England,1972-01-19,178
p109528,Javier Manquillo,19,Defender,Spain,1994-05-05,178
p109533,Emerson,\N,Defender,Italy,1994-08-03,176
p10954,Mark Bunn,\N,Goalkeeper,England,1984-11-16,183
p10962,Marco Ambrosio,\N,Goalkeeper,Italy,1973-05-30,180
p109638,Kean Bryan,\N,Defender,England,1996-11-01,185
p109641,Liam McAlinden,\N,Forward,Ireland,1993-09-26,185
p109646,Tosin Adarabioyo,\N,Defender,England,1997-09-24,196
p109652,Brandon Barker,\N,Midfielder,England,1996-10-04,180
p109653,Rony Lopes,\N,Midfielder,Portugal,1995-12-28,174
p1097,Peter Markstedt,\N,Defender,Netherlands,1972-01-11,178
p10971,Per Kroldrup,\N,Defender,Denmark,1979-07-31,194
p109745,Kepa Arrizabalaga,1,Goalkeeper,Spain,1994-10-03,189
p109788,João Mário,\N,Midfielder,Portugal,1993-01-19,179
p1098,Andy Sinton,\N,Midfielder,England,1966-03-19,173
p10995,Charles Itandje,\N,Goalkeeper,Cameroon,1982-11-02,193
p109966,Lucas Dawson,\N,Midfielder,England,1993-11-12,186
p109968,Michael Clarkson,\N,Midfielder,England,1993-12-11,180
p109999,Ibrahima Cissé,\N,Midfielder,Guinea,1994-02-28,180
p11,Nigel Winterburn,\N,Defender,England,1963-12-11,173
p11005,Thomas Gaardsoe,\N,Defender,Denmark,1979-11-23,188
p1101,Richard Wright,\N,Goalkeeper,England,1977-11-05,188
p11010,Mal Donaghy,\N,Defender,Northern Ireland,1957-09-13,179
p11014,Mick Harford,\N,Forward,England,1959-02-12,191
p110140,Callum Driver,\N,Defender,England,1992-10-23,174
p11015,Ashley Grimes,\N,Midfielder,England,1986-12-09,182
p1102,Clint Marcelle,\N,Forward,Trinidad & Tobago,1968-11-09,163
p110219,Ross Fitzsimons,\N,Goalkeeper,England,1994-05-28,189
p1103,Steve Sedgley,\N,Defender,England,1968-05-26,185
p11036,Sean Thornton,\N,Midfielder,Ireland,1983-05-18,178
p11037,Rickie Lambert,\N,Forward,England,1982-02-16,188
p1104,Fabian Wilnis,\N,Defender,Netherlands,1970-08-23,173
p110403,Derrick Williams,\N,Defender,Ireland,1993-01-17,180
p11043,Nery Castillo,\N,Forward,Mexico,1984-06-13,171
p1105,Jamie Clapham,\N,Defender,England,1975-12-07,175
p110504,Bertrand Traoré,15,Forward,Burkina Faso,1995-09-06,181
p110578,Jay Lynch,\N,Goalkeeper,England,1993-03-31,188
p1106,Jean-Manuel Thetis,\N,Defender,France,1971-11-05,191
p110690,Ben Wilson,\N,Goalkeeper,England,1992-08-09,186
p110697,Theo Wharton,\N,Midfielder,St. Kitts & Nevis,1994-11-15,178
p110700,Kyle De Silva,\N,Midfielder,England,1993-11-29,170
p110735,Adam Webster,4,Defender,England,1995-01-04,191
p11078,Elliott Ward,\N,Defender,England,1985-01-19,185
p1109,Mark Venus,\N,Defender,England,1967-04-06,183
p110932,Jack Sampson,\N,Forward,England,1993-04-14,188
p110979,Sadio Mané,10,Forward,Senegal,1992-04-10,175
p111055,Martin Samuelsen,\N,Midfielder,Norway,1997-04-17,189
p111138,Tim Payne,\N,Forward,New Zealand,1994-01-10,179
p111153,Liam Willis,\N,,England,1993-05-21,183
p111169,Sead Hajrovic,\N,Defender,Bosnia & Herzegovina,0000-00-00,\N
p1112,Mick Stockwell,\N,Midfielder,England,1965-02-14,175
p111234,Jordan Pickford,1,Goalkeeper,England,1994-03-07,185
p111289,Samed Yesil,\N,Forward,Germany,1994-05-25,180
p111291,Marçal,5,Defender,Brazil,1989-02-19,178
p111295,Adam Morgan,\N,Forward,England,1994-04-21,174
p1113,Matt Holland,\N,Midfielder,Ireland,1974-04-11,175
p111317,David Brooks,\N,Midfielder,Wales,1997-07-08,173
p111319,Jesse Joronen,\N,Goalkeeper,Finland,1993-03-21,197
p111352,David Ferguson,\N,Defender,England,1994-06-07,178
p111455,Tom Hopper,\N,Forward,England,1993-12-14,186
p111457,Sead Kolasinac,31,Defender,Bosnia & Herzegovina,1993-06-20,183
p111478,Joël Veltman,34,Defender,Netherlands,1992-01-15,184
p1115,David Johnson,\N,Forward,England,1976-08-15,168
p111565,Lucas Piazon,\N,Midfielder,Brazil,1994-01-20,182
p111571,Thomas Eisfeld,\N,Midfielder,Germany,1993-01-18,177
p111573,Liam Bagnall,\N,Defender,Northern Ireland,1992-05-17,180
p111574,Graeme MacGregor,\N,Midfielder,Scotland,1993-06-14,175
p11159,Matt Heath,\N,Defender,England,1981-01-11,193
p1116,James Scowcroft,\N,Forward,England,1975-11-15,185
p11160,Martin Reeves,\N,Defender,England,1981-09-07,183
p11161,Matt Piper,\N,Midfielder,England,1981-09-29,185
p111625,Quade Taylor,\N,Defender,England,1993-12-11,191
p1117,Lee Naylor,\N,Defender,England,1980-03-19,175
p111773,Emil Krafth,17,Defender,Sweden,1994-08-02,184
p111782,Robin Olsen,\N,Goalkeeper,Sweden,1990-01-08,198
p111787,Modou Barrow,\N,Forward,Gambia,1992-10-13,176
p1118,Jim Magilton,\N,Midfielder,Northern Ireland,1969-05-06,183
p111847,Adama Diomande,\N,Forward,Norway,1990-02-14,180
p1119,Richard Naylor,\N,Defender,England,1977-02-28,185
p11190,Michael Svensson,\N,Defender,Sweden,1975-11-25,189
p111919,Olarenwaju Kayode,\N,Forward,Nigeria,1993-05-08,176
p11193,Moritz Volz,\N,Defender,Germany,1983-01-21,179
p111931,Ricardo Pereira,21,Defender,Portugal,1993-10-06,175
p111981,Toni Silva,\N,Midfielder,Guinea-Bissau,1993-09-15,182
p112,Alf Inge Haaland,\N,Defender,Norway,1972-11-23,186
p112060,Josh Passley,\N,Defender,England,1994-11-21,184
p112063,Charles Banya,\N,Midfielder,England,1993-09-18,170
p1121,Matt Murray,\N,Goalkeeper,England,1981-05-02,193
p11212,Mikele Leigertwood,\N,Defender,Antigua & Barbuda,1982-11-12,188
p112133,Tyler Blackett,\N,Defender,England,1994-04-02,188
p112134,Jack Barmby,\N,Midfielder,England,1994-11-14,178
p112137,Mats Møller Dæhli,\N,Forward,Norway,1995-03-02,175
p112138,Sam Byrne,\N,Forward,Ireland,1995-07-23,184
p112139,James Wilson,\N,Forward,England,1995-12-01,183
p112144,Billy O'Brien,\N,Goalkeeper,England,1995-11-21,186
p11217,Seol Ki-Hyeon,\N,Forward,South Korea,1979-01-08,185
p11218,Ivica Mornar,\N,Forward,Croatia,1974-01-12,188
p1122,Jermaine Wright,\N,Midfielder,England,1975-10-21,175
p112316,Jakob Haugaard,\N,Goalkeeper,Denmark,1992-05-01,199
p112338,Emre Can,\N,Midfielder,Germany,1994-01-12,184
p112467,El-Hadji Ba,\N,Midfielder,France,1993-03-05,183
p11248,Sotirios Kyrgiakos,\N,Defender,Greece,1979-07-23,193
p1125,Adam Tanner,\N,Midfielder,England,1973-10-25,183
p112507,Jack Rose,\N,Goalkeeper,England,1995-01-31,190
p112516,Isaiah Brown,\N,Midfielder,England,1997-01-07,182
p112517,Mani O'Sullivan,\N,Midfielder,England,1993-09-18,182
p112520,Alex Palmer,\N,Goalkeeper,England,1996-08-10,191
p11269,David Murphy,\N,Defender,England,1984-03-01,184
p11270,Harpal Singh,\N,Midfielder,England,1981-09-15,170
p11275,Scott McDonald,\N,Forward,Australia,1983-08-21,173
p112763,Pierce Sweeney,\N,Defender,Ireland,1994-09-11,183
p11278,José Bosingwa,\N,Defender,Portugal,1982-08-24,183
p1128,Kevin Poole,\N,Goalkeeper,England,1963-07-21,178
p11281,Eric Djemba-Djemba,\N,Midfielder,Cameroon,1981-05-04,174
p11288,Bruno Cheyrou,\N,Midfielder,France,1978-05-10,187
p1129,Wayne Brown,\N,Defender,England,1977-08-20,183
p112979,Sammy Adjei,\N,Forward,Ghana,1992-01-18,186
