"manager_id","club_id","season"
"237","153","2005/06"
"237","153","2006/07"
"237","153","2007/08"
"304","153","2009/10"
"127","154","2011/12"
"137","154","1994/95"
"137","154","1995/96"
"234","154","2014/15"
"235","154","2014/15"
"236","154","2012/13"
"237","154","2012/13"
"237","154","2014/15"
"247","154","2011/12"
"247","154","2012/13"
"282","154","1992/93"
"282","154","1993/94"
"238","155","2012/13"
"239","155","2012/13"
"240","155","2012/13"
"241","155","2006/07"
"241","155","2007/08"
"82","156","2020/21"
"83","156","2019/20"
"83","156","2020/21"
"127","156","2006/07"
"195","156","1992/93"
"195","156","1993/94"
"228","157","1997/98"
"242","157","1999/00"
"243","157","1998/99"
"243","157","1999/00"
"244","157","1992/93"
"244","157","1993/94"
"244","157","1994/95"
"278","157","1995/96"
"278","157","1996/97"
"278","157","1997/98"
"84","158","2018/19"
"84","158","2019/20"
"84","158","2020/21"
"84","158","2021/22"
"104","158","2000/01"
"119","158","2003/04"
"119","158","2004/05"
"158","158","2014/15"
"158","158","2015/16"
"190","158","2016/17"
"202","158","1993/94"
"202","158","1994/95"
"220","158","1996/97"
"237","158","2004/05"
"245","158","2018/19"
"246","158","2017/18"
"247","158","2017/18"
"247","158","2018/19"
"248","158","2003/04"
"248","158","2004/05"
"249","158","2001/02"
"249","158","2002/03"
"249","158","2003/04"
"250","158","1995/96"
"251","158","1992/93"
"251","158","1993/94"
"272","158","2012/13"
"272","158","2013/14"
"281","158","1999/00"
"313","158","1997/98"
"313","158","1998/99"
"313","158","1999/00"
"247","159","2013/14"
"247","159","2014/15"
"247","159","2015/16"
"247","159","2016/17"
"252","159","2017/18"
"253","159","2017/18"
"254","159","2008/09"
"254","159","2009/10"
"254","159","2010/11"
"254","159","2011/12"
"254","159","2012/13"
"254","159","2013/14"
"81","160","2009/10"
"81","160","2010/11"
"81","160","2011/12"
"87","160","2015/16"
"89","160","2016/17"
"103","160","2011/12"
"187","160","1996/97"
"187","160","1999/00"
"187","160","2000/01"
"187","160","2001/02"
"255","160","2014/15"
"255","160","2015/16"
"256","160","2013/14"
"256","160","2014/15"
"257","160","2012/13"
"257","160","2013/14"
"258","160","2008/09"
"259","160","2007/08"
"259","160","2008/09"
"260","160","2005/06"
"260","160","2013/14"
"261","160","2011/12"
"261","160","2012/13"
"262","160","2002/03"
"312","160","2002/03"
"312","160","2005/06"
"77","161","2011/12"
"77","161","2012/13"
"263","161","2017/18"
"264","161","2017/18"
"265","161","2016/17"
"265","161","2017/18"
"266","161","2016/17"
"267","161","2015/16"
"267","161","2016/17"
"268","161","2015/16"
"268","161","2016/17"
"269","161","2013/14"
"269","161","2014/15"
"269","161","2015/16"
"270","161","2012/13"
"270","161","2013/14"
"271","162","1993/94"
"85","163","2020/21"
"86","163","2019/20"
"86","163","2020/21"
"90","163","2021/22"
"101","163","2013/14"
"124","163","1997/98"
"172","163","2004/05"
"172","163","2005/06"
"172","163","2006/07"
"172","163","2007/08"
"237","163","2008/09"
"237","163","2009/10"
"237","163","2010/11"
"237","163","2011/12"
"272","163","2014/15"
"272","163","2015/16"
"272","163","2016/17"
"272","163","2017/18"
"272","163","2018/19"
"272","163","2019/20"
"273","163","2012/13"
"273","163","2013/14"
"274","163","2007/08"
"274","163","2008/09"
"275","163","2007/08"
"276","163","2004/05"
"277","163","1997/98"
"277","163","1998/99"
"278","163","1998/99"
"278","163","2000/01"
"278","163","2003/04"
"279","163","1994/95"
"280","163","1993/94"
"280","163","1994/95"
"281","163","2000/01"
"281","163","2001/02"
"281","163","2002/03"
"281","163","2003/04"
"282","163","1994/95"
"282","163","1995/96"
"282","163","1996/97"
"282","163","1997/98"
"283","163","1992/93"
"284","163","1998/99"
"284","163","1999/00"
"284","163","2000/01"
"93","164","2021/22"
"105","164","1999/00"
"156","164","2017/18"
"285","164","2019/20"
"286","164","2017/18"
"286","164","2018/19"
"286","164","2019/20"
"287","164","2016/17"
"288","164","2015/16"
"288","164","2019/20"
"289","164","2019/20"
"290","164","2006/07"
"73","165","2010/11"
"73","165","2011/12"
"87","165","2020/21"
"88","165","2020/21"
"133","165","2010/11"
"191","165","2010/11"
"254","165","2014/15"
"254","165","2015/16"
"254","165","2016/17"
"254","165","2017/18"
"291","165","2017/18"
"292","165","2014/15"
"293","165","2014/15"
"294","165","2013/14"
"295","165","2008/09"
"296","165","2017/18"
"297","165","2004/05"
"298","165","2012/13"
"298","165","2013/14"
"299","165","2004/05"
"299","165","2005/06"
"300","165","2002/03"
"300","165","2004/05"
"300","165","2017/18"
"87","166","2012/13"
"87","166","2013/14"
"87","166","2014/15"
"88","166","2015/16"
"88","166","2016/17"
"88","166","2017/18"
"89","166","2017/18"
"89","166","2019/20"
"89","166","2020/21"
"89","166","2021/22"
"215","166","2000/01"
"215","166","2001/02"
"215","166","2002/03"
"237","166","1994/95"
"237","166","1995/96"
"237","166","1996/97"
"237","166","1997/98"
"237","166","1998/99"
"237","166","1999/00"
"237","166","2000/01"
"296","166","2005/06"
"301","166","2018/19"
"301","166","2019/20"
"302","166","2008/09"
"302","166","2009/10"
"303","166","2008/09"
"303","166","2010/11"
"304","166","2010/11"
"305","166","2002/03"
"306","166","2006/07"
"306","166","2007/08"
"306","166","2008/09"
"307","166","1993/94"
"81","167","2007/08"
"81","167","2008/09"
"151","167","2005/06"
"151","167","2006/07"
"159","167","2009/10"
"159","167","2010/11"
"159","167","2011/12"
"159","167","2012/13"
"308","167","2007/08"
"309","167","2007/08"
"221","168","1992/93"
"221","168","1993/94"
"221","168","1994/95"
"221","168","1995/96"
"221","168","1996/97"
"221","168","1997/98"
"221","168","1998/99"
"310","168","1999/00"
"90","169","2018/19"
"90","169","2019/20"
"90","169","2020/21"
"92","169","2021/22"
"311","169","2011/12"
"312","169","2009/10"
"312","169","2010/11"
"312","169","2011/12"
"313","169","2003/04"
197,145,2012/13
