"player_id","club_id","season"
"p101184","120","2014/15"
"p101184","120","2015/16"
"p101184","120","2016/17"
"p101184","120","2017/18"
"p101184","120","2018/19"
"p101184","120","2019/20"
"p101184","120","2020/21"
"p101184","120","2021/22"
"p10187","120","1999/00"
"p10187","120","2000/01"
"p10187","120","2001/02"
"p10187","120","2002/03"
"p10216","120","1997/98"
"p10216","120","1998/99"
"p10216","120","1999/00"
"p10216","120","2000/01"
"p10216","120","2001/02"
"p1034","120","1992/93"
"p1034","120","1993/94"
"p10343","120","2003/04"
"p10343","120","2004/05"
"p10343","120","2005/06"
"p10343","120","2006/07"
"p10348","120","2001/02"
"p108012","120","2011/12"
"p108012","120","2012/13"
"p11","120","1992/93"
"p11","120","1993/94"
"p11","120","1994/95"
"p11","120","1995/96"
"p11","120","1996/97"
"p11","120","1997/98"
"p11","120","1998/99"
"p11","120","1999/00"
"p1101","120","2001/02"
"p111169","120","2011/12"
"p111169","120","2012/13"
"p111457","120","2017/18"
"p111457","120","2018/19"
"p111457","120","2019/20"
"p111457","120","2020/21"
"p111457","120","2021/22"
"p111571","120","2011/12"
"p111571","120","2012/13"
"p111571","120","2013/14"
"p11193","120","2000/01"
"p11193","120","2001/02"
"p11193","120","2002/03"
"p11193","120","2003/04"
"p11334","120","2015/16"
"p11334","120","2016/17"
"p11334","120","2017/18"
"p11334","120","2018/19"
"p11334","120","2019/20"
"p113534","120","2014/15"
"p113534","120","2015/16"
"p113534","120","2016/17"
"p113534","120","2017/18"
"p113534","120","2018/19"
"p113534","120","2019/20"
"p113534","120","2020/21"
"p11485","120","2001/02"
"p11485","120","2002/03"
"p11485","120","2003/04"
"p11500","120","2001/02"
"p115918","120","2020/21"
"p115918","120","2021/22"
"p117216","120","2011/12"
"p11735","120","2001/02"
"p11735","120","2002/03"
"p11839","120","1999/00"
"p11839","120","2000/01"
"p11839","120","2001/02"
"p11839","120","2002/03"
"p11839","120","2003/04"
"p11839","120","2004/05"
"p11839","120","2005/06"
"p11839","120","2006/07"
"p1190","120","1992/93"
"p1190","120","1993/94"
"p1190","120","1994/95"
"p1190","120","1995/96"
"p1190","120","1996/97"
"p12024","120","2000/01"
"p12024","120","2001/02"
"p12024","120","2002/03"
"p12024","120","2003/04"
"p12024","120","2004/05"
"p12024","120","2005/06"
"p12297","120","2004/05"
"p12297","120","2005/06"
"p12297","120","2006/07"
"p12297","120","2007/08"
"p12297","120","2008/09"
"p12297","120","2009/10"
"p12297","120","2010/11"
"p12297","120","2011/12"
"p12450","120","2001/02"
"p12450","120","2002/03"
"p12450","120","2003/04"
"p12450","120","2004/05"
"p12450","120","2005/06"
"p12450","120","2006/07"
"p12450","120","2007/08"
"p12450","120","2008/09"
"p12765","120","2001/02"
"p12765","120","2002/03"
"p12765","120","2003/04"
"p131573","120","2012/13"
"p131897","120","2020/21"
"p131897","120","2021/22"
"p13201","120","2002/03"
"p13201","120","2003/04"
"p13201","120","2004/05"
"p13201","120","2005/06"
"p13201","120","2006/07"
"p13201","120","2007/08"
"p1322","120","1995/96"
"p1322","120","1996/97"
"p1322","120","1997/98"
"p13227","120","2008/09"
"p13227","120","2009/10"
"p13227","120","2010/11"
"p13227","120","2011/12"
"p13227","120","2012/13"
"p133797","120","2012/13"
"p133798","120","2012/13"
"p133798","120","2013/14"
"p133798","120","2014/15"
"p133798","120","2015/16"
"p133798","120","2016/17"
"p13385","120","1998/99"
"p13385","120","1999/00"
"p13385","120","2000/01"
"p13385","120","2001/02"
"p13385","120","2002/03"
"p13439","120","2010/11"
"p13439","120","2011/12"
"p13439","120","2012/13"
"p1352","120","1996/97"
"p1352","120","1997/98"
"p1352","120","1998/99"
"p13594","120","2011/12"
"p14","120","1992/93"
"p14","120","1993/94"
"p14","120","1994/95"
"p14","120","1995/96"
"p14","120","1996/97"
"p14","120","1997/98"
"p14","120","1998/99"
"p14","120","1999/00"
"p14","120","2000/01"
"p14","120","2001/02"
"p14","120","2002/03"
"p14","120","2003/04"
"p14356","120","2002/03"
"p14356","120","2003/04"
"p14356","120","2004/05"
"p14422","120","2004/05"
"p14422","120","2005/06"
"p14422","120","2006/07"
"p14422","120","2007/08"
"p14422","120","2008/09"
"p14422","120","2009/10"
"p14422","120","2010/11"
"p14422","120","2011/12"
"p146426","120","2014/15"
"p147675","120","2012/13"
"p147675","120","2013/14"
"p147675","120","2014/15"
"p147675","120","2015/16"
"p147675","120","2016/17"
"p147675","120","2017/18"
"p147675","120","2018/19"
"p147676","120","2012/13"
"p147692","120","2012/13"
"p147692","120","2013/14"
"p149572","120","2013/14"
"p1497","120","1992/93"
"p1497","120","1993/94"
"p1497","120","1994/95"
"p1497","120","1995/96"
"p1497","120","1996/97"
"p14985","120","2013/14"
"p15014","120","1996/97"
"p15014","120","1997/98"
"p15014","120","1998/99"
"p1504","120","1994/95"
"p1504","120","1995/96"
"p1504","120","1996/97"
